iter	reward-diff	reward-norm	policy-diff	lqog-lik
0	32.338224	155.029161	6.782330	-609.584547
1	30.127888	142.754674	6.164414	-455.406824
2	26.573678	123.403834	5.291503	-495.814001
3	24.529851	112.800066	4.690416	-284.574257
4	23.270165	105.773975	5.656854	-237.175698
5	23.228082	109.602918	6.164414	-159.704453
6	22.178576	103.140774	5.099020	-216.716404
7	21.720124	100.639697	6.633250	-152.243087
8	21.046057	98.788995	4.472136	-47.384067
9	20.209802	94.297555	4.242641	-38.245339
10	19.434592	90.286954	4.242641	-35.510125
11	18.711697	86.194222	4.242641	-33.018945
12	18.038972	82.710684	4.242641	-30.950719
13	17.410508	79.218337	4.242641	-29.118365
14	16.822505	75.956004	4.242641	-27.488938
15	16.272381	72.891520	4.000000	-26.148443
16	15.756621	70.154476	4.000000	-24.971437
17	15.272289	67.531609	3.741657	-23.838307
18	14.814078	64.748687	3.741657	-22.895710
19	14.383845	62.182327	3.741657	-22.222349
20	13.978535	59.819412	3.741657	-21.753381
21	13.650584	59.442161	4.000000	-21.482816
22	13.269756	57.176036	4.000000	-21.276625
23	12.911501	55.127383	3.464102	-20.634653
24	12.571908	53.137119	3.464102	-20.316649
25	12.251970	51.454747	3.464102	-20.035934
26	11.948091	49.481075	3.464102	-19.874994
27	11.659926	48.175128	3.464102	-19.853470
28	11.509705	48.197373	3.464102	-20.312753
29	11.473122	48.841098	3.741657	-21.185384
30	11.181831	47.469514	4.000000	-20.552615
31	10.910602	46.218233	3.464102	-20.240150
32	10.639996	44.560531	2.828427	-20.084776
33	10.526548	44.925512	3.162278	-20.591168
34	10.378328	44.507249	2.828427	-21.604228
35	10.123416	42.986421	2.449490	-20.300981
36	9.881028	41.924169	2.449490	-20.354043
37	9.647182	40.702698	2.449490	-20.372382
38	9.419467	39.622073	2.828427	-20.415973
39	9.219128	39.261349	2.000000	-20.683210
40	9.357927	40.278521	3.162278	-21.646660
41	9.124427	39.122124	2.828427	-21.530836
42	8.899488	38.189258	2.000000	-21.425781
43	8.854897	38.819543	3.464102	-22.215347
44	8.624752	37.624917	2.449490	-21.978533
45	8.403923	36.801631	2.449490	-22.037431
46	8.189591	35.800857	2.828427	-21.852055
47	7.983387	35.052268	2.449490	-21.829667
48	8.016207	35.791532	3.162278	-22.329687
49	7.799723	35.223396	3.162278	-23.356523
50	7.593353	34.184458	2.449490	-23.021119
51	7.386410	33.219706	3.162278	-23.106813
52	7.190065	32.310014	2.000000	-23.068157
53	6.995046	31.450877	2.828427	-23.039398
54	6.808924	30.526790	1.414214	-23.006503
55	6.628225	29.958306	2.449490	-22.931120
56	6.461317	29.228908	1.414214	-22.767645
57	6.293743	28.474957	2.000000	-22.728727
58	6.140534	27.636009	1.414214	-22.662134
59	5.988923	27.215310	2.449490	-22.873200
60	5.847500	26.431375	1.414214	-22.998244
61	5.702377	25.568071	2.449490	-23.103253
62	5.574528	25.342298	1.414214	-23.286190
63	5.439851	24.512289	2.000000	-23.497762
64	5.373638	24.595391	1.414214	-23.700943
65	5.243788	24.285023	1.414214	-23.778597
66	5.116914	23.725271	1.414214	-23.574800
67	4.995617	23.469011	1.414214	-23.813236
68	4.880203	22.833456	0.000000	-23.835605
69	4.764311	22.507376	2.000000	-24.111423
70	4.656220	21.989083	0.000000	-24.340933
71	4.544203	21.561243	2.000000	-24.459823
72	4.441924	21.133884	0.000000	-24.593082
73	4.334538	20.712156	1.414214	-24.761856
74	4.239862	20.522540	0.000000	-25.063364
75	4.133605	19.829649	1.414214	-25.023863
76	4.041083	19.546190	0.000000	-25.271482
77	3.944080	19.250843	2.000000	-25.560069
78	3.854280	18.738420	0.000000	-25.572563
79	3.762357	18.497771	1.414214	-25.748291
80	3.679007	18.185942	0.000000	-25.897403
81	3.590248	17.792450	2.000000	-26.010810
82	3.510102	17.372153	0.000000	-26.254450
83	3.423880	17.057488	1.414214	-26.449225
84	3.352665	16.880232	0.000000	-26.660229
85	3.270930	16.521893	2.000000	-26.705716
86	3.199990	16.163042	1.414214	-26.827462
87	3.128166	16.188577	2.000000	-27.011336
88	3.058101	15.825193	0.000000	-26.905371
89	2.982127	15.406684	1.414214	-27.103180
90	2.919435	15.085962	0.000000	-27.331907
91	2.848944	14.696445	1.414214	-27.446596
92	2.795517	14.698629	0.000000	-27.648820
93	2.727222	14.184105	2.000000	-27.680787
94	2.675759	14.083677	0.000000	-27.849220
95	2.623717	13.962738	0.000000	-27.915226
96	2.563778	13.537538	2.000000	-28.047339
97	2.517049	13.394523	0.000000	-28.166227
98	2.460163	13.052985	1.414214	-28.288904
99	2.408334	12.888991	1.414214	-28.455123
100	2.365092	12.552424	0.000000	-28.527692
101	2.327454	12.498959	0.000000	-28.657701
102	2.280057	12.218175	1.414214	-28.753066
103	2.242135	11.883170	0.000000	-28.862477
104	2.211955	11.824429	0.000000	-29.055039
105	2.172670	11.687707	2.000000	-29.150607
106	2.139347	11.296152	0.000000	-29.198056
107	2.107464	11.284821	2.000000	-29.371983
108	2.084202	11.238056	0.000000	-29.400097
109	2.048581	10.933474	2.000000	-29.387004
110	2.023790	10.768018	0.000000	-29.499253
111	1.992091	10.443043	1.414214	-29.673385
112	1.973617	10.231113	0.000000	-29.815587
113	1.949727	10.200323	1.414214	-29.982002
